ID,Paper Title,Publication Year,Author Keywords,Article Citation Count,Authors with Affiliations
17,"Understanding the Impressions, Motivations, and Barriers of One Time Code Contributors to FLOSS Projects: A Survey",2017,FLOSS;Open source;OSS;Newcomers;One Time Contributors;Survey;Qualitative Research,70,"A. Lee (Computer Science Department, University of Alabama, TUSAcaloosa, AL, USA); J. C. Carver (Computer Science Department, University of Alabama, TUSAcaloosa, AL, USA); A. Bosu (Department of Computer Science, Southern Illinois University, Carbondale, IL, USA)"
18,Search-Driven String Constraint Solving for Vulnerability Detection,2017,vulnerability detection;string constraint solving;search-based software engineering,23,"J. Thome (SnT Centre, University of Luxembourg); L. K. Shar (SnT Centre, University of Luxembourg); D. Bianculli (SnT Centre, University of Luxembourg); L. Briand (SnT Centre, University of Luxembourg)"
19,A Guided Genetic Algorithm for Automated Crash Reproduction,2017,Search-Based Software Testing;Genetic Algorithms;Automated Crash Reproduction,31,"M. Soltani (Delft University of Technology, The Netherlands); A. Panichella (SnT Centre, University of Luxembourg, Luxembourg); A. van Deursen (Delft University of Technology, The Netherlands)"
20,Stochastic Optimization of Program Obfuscation,2017,program obfuscation;obscurity language model;markov chain monte carlo methods,17,"H. Liu (School of Software, Tsinghua University, Beijing, China); C. Sun (University of California, Davis, USA); Z. Su (University of California, Davis, USA); Y. Jiang (School of Software, Tsinghua University, Beijing, China); M. Gu (School of Software, Tsinghua University, Beijing, China); J. Sun (School of Software, Tsinghua University, Beijing, China)"
21,ZenIDS: Introspective Intrusion Detection for PHP Applications,2017,"Training
;
Monitoring
;
Authentication
;
Intrusion detection
;
Internet
;
Content management",5,"B. Hawkins (University of California, Irvine); B. Demsky (University of California, Irvine)"
22,Statically Checking Web API Requests in JavaScript,2017,Static analysis;JavaScript;Web APIs,24,"E. Wittern (IBM T. J. Watson Research Center, NY, USA); A. T. T. Ying (IBM T. J. Watson Research Center, NY, USA); Y. Zheng (IBM T. J. Watson Research Center, NY, USA); J. Dolby (IBM T. J. Watson Research Center, NY, USA); J. A. Laredo (IBM T. J. Watson Research Center, NY, USA)"
23,On Cross-Stack Configuration Errors,2017,Software Configuration;Software Stack;Qualitative Study;Multi-layer Systems;Empirical Study;Slicing;PHP,20,"M. Sayagh (Polytechnique Montreal); N. Kerzazi (ENSIAS, Univ Mohammed V, Rabat); B. Adams (Polytechnique Montreal)"
24,Efficient Detection of Thread Safety Violations via Coverage-Guided Generation of Concurrent Tests,2017,test generation;coverage;concurrency,30,"A. Choudhary (Department of Computer Science, TU Darmstadt, Germany); S. Lu (Department of Computer Science, TU Darmstadt, Germany); M. Pradel (Department of Computer Science, TU Darmstadt, Germany)"
25,RClassify: Classifying Race Conditions in Web Applications via Deterministic Replay,2017,Race condition;web application;JavaScript;deterministic replay;program repair,15,"L. Zhang (Virginia Tech, Blacksburg, VA, USA); C. Wang (University of Southern California, Los Angeles, CA, USA)"
26,Repairing Event Race Errors by Controlling Nondeterminism,2017,JavaScript;event-driven programming;automated repair,26,"C. Q. Adamsen (AarhUSA University, AarhUSA, Denmark); A. Moller (AarhUSA University, AarhUSA, Denmark); R. Karim (Samsung Research America, Mountain View, CA, USA); M. Sridharan (Samsung Research America, Mountain View, CA, USA); F. Tip (Northeastern University, Boston, MA, USA); K. Sen (EECS Department, UC Berkeley, CA, USA)"
27,Making Malory Behave Maliciously: Targeted Fuzzing of Android Execution Environments,2017,Malware; Smart phones; Heuristic algorithms; Algorithm design and analysis; Mobile communication; Security; Instruments,32,"S. Rasthofer (Fraunhofer SIT, TU Darmstadt, Germany); S. Arzt (Fraunhofer SIT, TU Darmstadt, Germany); S. Triller (Fraunhofer SIT, Germany); M. Pradel (Department of Computer Science, TU Darmstadt, Germany)"
28,A SEALANT for Inter-App Security Holes in Android,2017,Android;Security;Inter-app vulnerability,30,"Y. K. Lee (Computer Science Department, University of Southern California, Los Angeles, California, USA); J. Y. Bang (Kakao Corporation Seongnam, Gyeonggi, Korea); G. Safi (Computer Science Department, University of Southern California, Los Angeles, California, USA); A. Shahbazian (Computer Science Department, University of Southern California, Los Angeles, California, USA); Y. Zhao (Computer Science Department, University of Southern California, Los Angeles, California, USA); N. Medvidovic (Computer Science Department, University of Southern California, Los Angeles, California, USA)"
29,"An Efficient, Robust, and Scalable Approach for Analyzing Interacting Android Apps",2017,Android;program analysis;inter-app communication,15,"Y. Tsutano (Department of Computer Science and Engineering, University of Nebraska-Lincoln, Lincoln, NE, USA); S. Bachala (Department of Computer Science and Engineering, University of Nebraska-Lincoln, Lincoln, NE, USA); W. Srisa-An (Department of Computer Science and Engineering, University of Nebraska-Lincoln, Lincoln, NE, USA); G. Rothermel (Department of Computer Science and Engineering, University of Nebraska-Lincoln, Lincoln, NE, USA); J. Dinh (Department of Computer Science and Engineering, University of Nebraska-Lincoln, Lincoln, NE, USA)"
30,LibD: Scalable and Precise Third-Party Library Detection in Android Markets,2017,Android;third-party library;software mining,100,"M. Li (School of CyberSpace Security, University of Chinese Academy of Sciences, China); W. Wang (Key Laboratory of Network Assessment Technology, Chinese Academy of Sciences, China); P. Wang (College of Information Sciences and Technology, The Pennsylvania State University, University Park, PA, USA); S. Wang (College of Information Sciences and Technology, The Pennsylvania State University, University Park, PA, USA); D. Wu (College of Information Sciences and Technology, The Pennsylvania State University, University Park, PA, USA); J. Liu (School of CyberSpace Security, University of Chinese Academy of Sciences, China); R. Xue (School of CyberSpace Security, University of Chinese Academy of Sciences, China); W. Huo (School of CyberSpace Security, University of Chinese Academy of Sciences, China)"
31,Analysis and Testing of Notifications in Android Wear Applications,2017,Semantics; Testing; Androids; Humanoid robots; Handheld computers; Software; Smart phones,17,"H. Zhang (Ohio State University, ColumbUSA, OH, USA); A. Rountev (Ohio State University, ColumbUSA, OH, USA)"
32,Adaptive Unpacking of Android Apps,2017,Dynamic Analysis;App Unpacking,52,"L. Xue (Department of Computing, The Hong Kong Polytechnic University); X. Luo (Department of Computing, The Hong Kong Polytechnic University); L. Yu (Department of Computing, The Hong Kong Polytechnic University); S. Wang (Department of Computing, The Hong Kong Polytechnic University); D. Wu (College of Information Sciences and Technology, The Pennsylvania State University)"
33,Performance Diagnosis for Inefficient Loops,2017,performance diagnosis;debugging;loop inefficiency,29,"L. Song (Fireeye, Inc.); S. Lu (University of Chicago)"
34,How Do Developers Fix Cross-Project Correlated Bugs? A Case Study on the GitHub Scientific Python Ecosystem,2017,GitHub ecosystems;cross-project correlated bugs;root causes tracking;coordinate,38,"W. Ma (State Key Laboratory for Novel Software Technology, Nanjing University, China); L. Chen (State Key Laboratory for Novel Software Technology, Nanjing University, China); X. Zhang (Department of Computer Science, Purdue University, USA); Y. Zhou (State Key Laboratory for Novel Software Technology, Nanjing University, China); B. Xu (State Key Laboratory for Novel Software Technology, Nanjing University, China)"
35,Feedback-Based Debugging,2017,debugging;feedback;slicing;path pattern;approximation,29,"Y. Lin (School of Computing, National University of Singapore, Singapore); J. Sun (Singapore University of Technology and Design, Singapore); Y. Xue (School of Computer Engineering, school of computer science and engineering, nanyang technological university, singapore); Y. Liu (School of Computer Engineering, school of computer science and engineering, nanyang technological university, singapore); J. Dong (School of Computing, National University of Singapore, Singapore)"
36,Learning Syntactic Program Transformations from Examples,2017,Program transformation;program synthesis;tutoring systems;refactoring,129,"R. Rolim (UFCG, Brazil); G. Soares (UFCG, Brazil); L. D'Antoni (University of Wisconsin-Madison, USA); O. Polozov (University of Washington, USA); S. Gulwani (Microsoft, USA); R. Gheyi (UFCG, Brazil); R. Suzuki (University of Colorado Boulder, USA); B. Hartmann (UC Berkeley, USA)"
37,Precise Condition Synthesis for Program Repair,2017,Maintenance engineering; Text analysis; Benchmark testing; Java; Input variables; Software engineering; Software,166,"Y. Xiong (EECS, Peking University, Beijing, China); J. Wang (EECS, Peking University, Beijing, China); R. Yan (SISE, University of Electronic Science and Technology of China, Chengdu, China); J. Zhang (EECS, Peking University, Beijing, China); S. Han (Microsoft Research, Beijing, China); G. Huang (EECS, Peking University, Beijing, China); L. Zhang (EECS, Peking University, Beijing, China)"
38,Heuristically Matching Solution Spaces of Arithmetic Formulas to Efficiently Reuse Solutions,2017,SMT-based program analysis;symbolic execution;SMT solvers;solution reuse,8,"A. Aquino (Universita della Svizzera italiana (USAI), Lugano, Switzerland); G. Denaro (University of Milano-Bicocca, Milano, Italy); M. Pezze (Universita della Svizzera italiana (USAI), Lugano, Switzerland)"
39,Exploring API Embedding for API Usages and Applications,2017,Word2Vec;API embedding;API usages;migration,89,"T. D. Nguyen (Electrical and Computer Engineering Department, Iowa State University); A. T. Nguyen (Electrical and Computer Engineering Department, Iowa State University); H. D. Phan (Electrical and Computer Engineering Department, Iowa State University); T. N. Nguyen (Computer Science Department, University of Texas, Dallas)"
40,Unsupervised Software-Specific Morphological Forms Inference from Informal Discussions,2017,abbreviation;synonym;morphological form;word embedding;Stack Overflow,44,"C. Chen (School of Computer Science and Engineering, school of computer science and engineering, nanyang technological university, singapore); Z. Xing (Research School of Computer Science, australian National University, australia); X. Wang (School of Computer Science and Engineering, school of computer science and engineering, nanyang technological university, singapore)"
41,SPAIN: Security Patch Analysis for Binaries towards Understanding the Pain and Pills,2017,Security; Semantics; Software; Tools; Scalability; Registers; Portable document format,68,"Z. Xu (School of Computer Science and Engineering, school of computer science and engineering, nanyang technological university, singapore); B. Chen (School of Computer Science and Engineering, school of computer science and engineering, nanyang technological university, singapore); M. Chandramohan (School of Computer Science and Engineering, school of computer science and engineering, nanyang technological university, singapore); Y. Liu (School of Computer Science and Engineering, school of computer science and engineering, nanyang technological university, singapore); F. Song (School of Information Science and Technology, ShanghaiTech University, China)"
42,Travioli: A Dynamic Analysis for Detecting Data-Structure Traversals,2017,Reactive power; Arrays; Computer bugs; Lenses; Data visualization; Performance analysis,8,"R. Padhye (EECS Department, University of California, Berkeley, USA); K. Sen (EECS Department, University of California, Berkeley, USA)"
43,ProEva: Runtime Proactive Performance Evaluation Based on Continuous-Time Markov Chains,2017,continuous-time Markov chain;imprecise parameters;performance;Quality-of-Service,9,"G. Su (School of Computing and Information Technology, University of Wollongong); T. Chen (Department of Computer Science, Middlesex University London); Y. Feng (Faculty of Engineering and Information Technology, University of Technology Sydney); D. S. Rosenblum (School of Computing, National University of Singapore)"
44,Glacier: Transitive Class Immutability for Java,2017,immutability;programming language usability;empirical studies of programmers,20,"M. Coblenz (School of Computer Science, Carnegie Mellon University, Pittsburgh, PA, USA); W. Nelson (Hampton University, Hampton, VA, USA); J. Aldrich (School of Computer Science, Carnegie Mellon University, Pittsburgh, PA, USA); B. Myers (School of Computer Science, Carnegie Mellon University, Pittsburgh, PA, USA); J. Sunshine (School of Computer Science, Carnegie Mellon University, Pittsburgh, PA, USA)"
45,Challenges for Static Analysis of Java Reflection - Literature Review and Empirical Study,2017,Java;Reflection;Static Analysis;Systematic Literature Review;Empirical Study,58,"D. Landman (Centrum Wiskunde & Informatica, Amsterdam, The Netherlands); A. Serebrenik (Eindhoven University of Technology, Eindhoven, The Netherlands); J. J. Vinju (Eindhoven University of Technology, Eindhoven, The Netherlands)"
46,Machine-Learning-Guided Selectively Unsound Static Analysis,2017,Static Analysis;Machine Learning;Bug-finding,29,"K. Heo (Seoul National University, Seoul, Korea); H. Oh (Korea University, Seoul, Korea); K. Yi (Seoul National University, Seoul, Korea)"
47,How Good Is a Security Policy against Real Breaches? A HIPAA Case Study,2017,Security and privacy breaches;social norms;breach ontology;semantic similarity,16,"O. Kafali (Department of Computer Science, North Carolina State University, Raleigh, NC, USA); J. Jones (College of Arts and Sciences, Elon University, Elon, NC, USA); M. PetrUSAo (Department of Computer Science, Appalachian State University, Boone, NC, USA); L. Williams (Department of Computer Science, North Carolina State University, Raleigh, NC, USA); M. P. Singh (Department of Computer Science, North Carolina State University, Raleigh, NC, USA)"
48,Adaptive Coverage and Operational Profile-Based Testing for Reliability Improvement,2017,Testing;Reliability;Operational profile;Program count spectrum;Operational coverage;Test case selection,14,"A. Bertolino (ISTI - CNR, Pisa, Italy); B. Miranda (ISTI - CNR, Pisa, Italy); R. Pietrantuono (Universita degli Studi di Napoli Federico II, Napoli, Italy); S. RUSAso (Universita degli Studi di Napoli Federico II, Napoli, Italy)"
49,RADAR: A Lightweight Tool for Requirements and Architecture Decision Analysis,2017,Decision Analysis;Requirements Engineering;Software Architecture;Goal Modelling;Monte-Carlo Simulation;Multi-Objective Optimisation;Search-Based Software Engineering;Expected Value of Information,9,"S. A. BUSAri (Department of Computer Science, University College London, London, United Kingdom); E. Letier (Department of Computer Science, University College London, London, United Kingdom)"
50,PEoPL: Projectional Editing of Product Lines,2017,Latches;Java;Switches;Visualization;Bars;Software;Clutter,19,"B. Behringer (HTW saar, University of Luxembourg, Luxembourg, Germany); J. Palz (HTW saar, Germany); T. Berger (Chalmers, University of Gothenburg, Sweden)"
51,Do Developers Read Compiler Error Messages?,2017,compiler errors;eye tracking;integrated development environments;programmer comprehension;reading;visual attention,48,"T. Barik (Department of Computer Science, North Carolina State University, Raleigh, North Carolina, USA); J. Smith (Department of Computer Science, North Carolina State University, Raleigh, North Carolina, USA); K. Lubick (Department of Computer Science, North Carolina State University, Raleigh, North Carolina, USA); E. Holmes (Department of Psychology, Washington and Lee University, Lexington, Virginia, USA); J. Feng (Department of Psychology, North Carolina State University, Raleigh, North Carolina, USA); E. Murphy-Hill (Department of Computer Science, North Carolina State University, Raleigh, North Carolina, USA); C. Parnin (Department of Computer Science, North Carolina State University, Raleigh, North Carolina, USA)"
52,A General Framework for Dynamic Stub Injection,2017,Instruments; DSL; Computer bugs; Testing; Runtime; Debugging,2,"M. Christakis (Microsoft Research, Redmond, WA, USA); P. Emmisberger (Dept. of Computer Science, ETH Zurich, Switzerland); P. Godefroid (Microsoft Research, Redmond, WA, USA); P. Muller (Dept. of Computer Science, ETH Zurich, Switzerland)"
53,"An Empirical Study on Mutation, Statement and Branch Coverage Fault Revelation That Avoids the Unreliable Clean Program Assumption",2017,Mutation testing;test effectiveness;code coverage;real faults;test adequacy,79,"T. T. Chekam (Interdisciplinary Centre for Security, Reliability and TrUSAt, University of Luxembourg, Luxembourg); M. Papadakis (Interdisciplinary Centre for Security, Reliability and TrUSAt, University of Luxembourg, Luxembourg); Y. Le Traon (Interdisciplinary Centre for Security, Reliability and TrUSAt, University of Luxembourg, Luxembourg); M. Harman (University College London, Facebook, London, UK)"
54,Evaluating and Improving Fault Localization,2017,Maintenance engineering; Tools; Debugging; Java; Computer bugs; Focusing; Manuals,221,"S. Pearson (U. of Washington, USA); J. Campos (U. of Sheffield, UK); R. JUSAt (U. of MassachUSAetts, USA); G. Fraser (U. of Sheffield, UK); R. Abreu (Palo Alto Research Center, USA); M. D. Ernst (U. of Washington, USA); D. Pang (U. of Washington, USA); B. Keller (U. of Washington, USA)"
55,Syntactic and Semantic Differencing for Combinatorial Models of Test Designs,2017,Computational modeling; Semantics; Tools; Syntactics; Analytical models; Data models; Binary decision diagrams,7,"R. Tzoref-Brill (School of Computer Science, IBM Research, Israel); S. Maoz (School of Computer Science, Tel Aviv University)"
56,Balancing Soundness and Efficiency for Practical Testing of Configurable Systems,2017,sampling;testing;configuration,23,"S. Souto (State University of Parai­ba, Parai­ba, Brazil); M. D'Amorim (Federal University of Pernambuco, Pernambuco, Brazil); R. Gheyi (Federal University of Campina Grande, Paraiba, Brazil)"
57,Automatic Text Input Generation for Mobile Testing,2017,Testing; Mobile communication; Neurons; Biological neural networks; Predictive models; Training; Context modeling,30,"P. Liu (IBM T. J. Watson Research Center, Yorktown Heights, New York, USA); X. Zhang (Purdue University, West Lafayette, Indiana, USA); M. Pistoia (IBM T. J. Watson Research Center, Yorktown Heights, New York, USA); Y. Zheng (IBM T. J. Watson Research Center, Yorktown Heights, New York, USA); M. Marques (IBM T. J. Watson Research Center, Yorktown Heights, New York, USA); L. Zeng (Purdue University, West Lafayette, Indiana, USA)"
58,A Test-Suite Diagnosability Metric for Spectrum-Based Fault Localization Approaches,2017,Testing;Coverage;Diagnosability,42,"A. Perez (Palo Alto Research Center, USA); R. Abreu (Palo Alto Research Center, USA); A. van Deursen (Delft University of Technology, The Netherlands)"
59,Automated Transplantation and Differential Testing for Clones,2017,Test Reuse;Code Transplantation;Differential Testing;Code Clones,25,"T. Zhang (University of California, Los Angeles); M. Kim (University of California, Los Angeles)"
60,Code Defenders: Crowdsourcing Effective Tests and Subtle Mutants with a Mutation Testing Game,2017,gamification;crowdsourcing;software testing;mutation testing,28,"J. M. Rojas (Department of Computer Science, The University of Sheffield, Sheffield, United Kingdom); T. D. White (Department of Computer Science, The University of Sheffield, Sheffield, United Kingdom); B. S. Clegg (Department of Computer Science, The University of Sheffield, Sheffield, United Kingdom); G. Fraser (Department of Computer Science, The University of Sheffield, Sheffield, United Kingdom)"
61,Optimizing Test Placement for Module-Level Regression Testing,2017,regression test selection;module-level regression testing;build system,22,"A. Shi (University of Illinois, Urbana-Champaign, USA); S. Thummalapenta (Microsoft Corporation, USA); S. K. Lahiri (Microsoft Research, USA); N. Bjorner (Microsoft Research, USA); J. Czerwonka (Microsoft Corporation, USA)"
62,Learning to Prioritize Test Programs for Compiler Testing,2017,Computer bugs; Testing; Program processors; Life estimation; Feature extraction; Training; Predictive models,40,"J. Chen (EECS, Peking University, Beijing, China); Y. Bai (EECS, Peking University, Beijing, China); D. Hao (EECS, Peking University, Beijing, China); Y. Xiong (EECS, Peking University, Beijing, China); H. Zhang (The University of Newcastle, NSW, australia); B. Xie (EECS, Peking University, Beijing, China)"
63,What Causes My Test Alarm? Automatic Cause Analysis for Test Alarms in System and Integration Testing,2017,software testing;system and integration testing;test alarm analysis;multiclass classification,43,"H. Jiang (State Key Lab of Software Engineering, Wuhan University, Wuhan, China); X. Li (School of Software, Dalian University of Technology, Dalian, China); Z. Yang (Western Michigan University, Kalamazoo, MI, USA); J. Xuan (State Key Lab of Software Engineering, Wuhan University, Wuhan, China)"
64,Symbolic Model Extraction for Web Application Verification,2017,Formal Verification;Model Extraction;Web Applications,4,"I. Bocic (Department of Computer Science, University of California, Santa Barbara, USA); T. Bultan (Department of Computer Science, University of California, Santa Barbara, USA)"
65,UML Diagram Refinement (Focusing on Class-and Use Case Diagrams),2017,Refinement;UML;Class diagram;Use case diagram;Graph homomorphism;Design patterns,12,"D. Faitelson (Software Engineering Department, Afeka Tel Aviv Academic College of Engineering, Israel); S. Tyszberowicz (Academic College of Tel Aviv, School of Computer Science, Yaffo, Israel)"
66,Fuzzy Fine-Grained Code-History Analysis,2017,software engineering;computer aided software engineering;software maintenance;reasoning about programs,9,"F. Servant (Virginia Tech); J. A. Jones (University of California, Irvine)"
67,To Type or Not to Type: Quantifying Detectable Bugs in JavaScript,2017,JavaScript;static type systems;Flow;TypeScript;mining software repositories,46,"Z. Gao (University College London, London, UK); C. Bird (Microsoft Research, Redmond, USA); E. T. Barr (University College London, London, UK)"
68,The Evolution of Continuous Experimentation in Software Product Development: From Data to a Data-Driven Organization at Scale,2017,A/B testing;continuous experimentation;data science;customer feedback;continuous product innovation;Experimentation Evolution Model;product value;Experiment Owner,90,"A. Fabijan (Faculty of Technology and Society, Malmo University, Malmo, Sweden); P. Dmitriev (Microsoft, Analysis & Experimentation Microsoft, Redmond, WA, USA); H. H. Olsson (Faculty of Technology and Society, Malmo University, Malmo, Sweden); J. Bosch (Dep. of Computer Science & Eng., Chalmers University of Technology, Goteborg, Sweden)"
69,Context-Aware Patch Generation for Better Automated Program Repair,2018,Context-Aware;Automated Program Repair;Patch Prioritization,89,"M. Wen (Department of Computer Science and Engineering, The Hong Kong University of Science and Technology, Hong Kong, China); J. Chen (EECS, Peking University, Beijing, China); R. Wu (Department of Computer Science and Engineering, The Hong Kong University of Science and Technology, Hong Kong, China); D. Hao (EECS, Peking University, Beijing, China); S. -C. Cheung (Department of Computer Science and Engineering, The Hong Kong University of Science and Technology, Hong Kong, China)"
70,Towards Practical Program Repair with On-demand Candidate Generation,2018,debugging;program repair;program synthesis;lazy initialization;execution driven pruning,39,"J. Hua (University of Texas at AUSAtin, AUSAtin, TX, USA); M. Zhang (University of Texas at AUSAtin, AUSAtin, TX, USA); K. Wang (University of Texas at AUSAtin, AUSAtin, TX, USA); S. Khurshid (University of Texas at AUSAtin, AUSAtin, TX, USA)"
71,[Journal First] A Correlation Study Between Automated Program Repair and Test-Suite Metrics,2018,Code Coverage;Program Repair;Mutation Testing,2,J. Yi (Innopolis University); S. H. Tan (National University of Singapore); S. Mechtaev (National University of Singapore); M. Bohme (National University of Singapore); A. Roychoudhury (National University of Singapore)
72,[Journal First] Do Automated Program Repair Techniques Repair Hard and Important Bugs?,2018,Automated program repair;Repairability,1,"M. Motwani (University of MassachUSAetts Amherst, Amherst, MA, USA); S. Sankaranarayanan (University of MassachUSAetts Amherst, Amherst, MA, USA); R. JUSAt (University of MassachUSAetts Amherst, Amherst, MA, USA); Y. Brun (University of MassachUSAetts Amherst, Amherst, MA, USA)"
73,Software Protection on the Go: A Large-Scale Empirical Study on Mobile App Obfuscation,2018,obfuscation;reverse engineering;mobile app;empirical study,6,P. Wang (The Pennsylvania State University); Q. Bao (The Pennsylvania State University); L. Wang (The Pennsylvania State University); S. Wang (The Pennsylvania State University); Z. Chen (Baidu X-Lab); T. Wei (Baidu X-Lab); D. Wu (The Pennsylvania State University)
74,GUILeak: Tracing Privacy Policy Claims on User Input Data for Android Applications,2018,Mobile privacy policy;Android application;User input,17,"X. Wang (Univ. of Texas at San Antonio, San Antonio, TX, USA); X. Qin (Univ. of Texas at San Antonio, San Antonio, TX, USA); M. Bokaei Hosseini (Univ. of Texas at San Antonio, San Antonio, TX, USA); R. Slavin (Univ. of Texas at San Antonio, San Antonio, TX, USA); T. D. Breaux (Carnegie Mellon Univ., Pittsburgh, PA, USA); J. Niu (Univ. of Texas at San Antonio, San Antonio, TX, USA)"
